"How My Grandmother Became A Chair / Nicolas Fattouh / Lebanon / Germany, 2020 / 9'55""";Как моя бабушка превратилась в стул
"Huis Clos / Nina Winiger / Switzerland / 2020 / 4'28""";За закрытыми дверями
"Hummingbird / Damon Stea / United States / 2019 / 4'04""";
"Hurlevent / Frederic Doazan / France / 2019 / 6'23""";Гроза
"I do not miss you anymore / Diego Rotmistrovsky / Argentina / 2020 / 4'57""";Я больше не скучаю по тебе
"I Just Breath More / Bruno Quast / Estonia / 2020 / 6'40""";Я просто глубже дышу
"I Like It When You’re Gone / Ada Guvenir / Belgium / 2020 / 3'06""";Мне нравится, когда тебя нет
"I See The Abyss / Karolina Kajetanowicz / Poland / 2020 / 4'20""";Я вижу бездну
"I Want A Sun In My Pocket / Laui Laessa / Costa Rica, Canada / 2019 / 4'18""";Мне бы солнце в кармане
"I Wish / Nadia Goldman /  Russia / 2021 / 3'15""";Мне хочется
"I'm a Fish / Daria Melnikova / Russia / 2020 / 5'10""";Я - Рыба
"If A Day... / Soheil Seraji / Iran / 2020 / 4'19""";
"In Nature / Marcel Barelli / Switzerland / 2021 / 5'00""";В природе
"Infinite Echo / Erwin Kopeng / Germany / 2020 / 4'15""";Бесконечное эхо
"Jack / Faiyaz Jafri / United States / 2019 / 2'00""";
"Jacques’ Rampage Or When Do We Lose Our Self-Confidence? / Mate Horesnyi / Hungary / 2018 / 8'00""";Буйство Жака, или Когда мы теряем уверенность в себе?
"Jeroboam / Bianca Caderas / Germany / 2020 / 7'11""";Бутыль
"Joel Sarakula - Sunshine Makes Me / Julia Specht / Germany / 2020 / 4'20""";Солнце создает меня
"Jung & Restless / Joanna Priestley / United States / 2020 / 6'06""";Юнг и неугомонность
"Kiki The Feather / Julie Rembauville / France / 2020 / 5'47""";Кики-перышко
Kiko and the Animals / Yawen Zheng / France / 2020 / 7'28""";Кико и животные
"Killing Time / Camille Guillot, Fanny Hagdahl Sorebo, Aleksandra Krechman, Sarah Naciri, Morgane Ravelonary, Valentine Zhang / France / 2019 / 4'47""";Убивая время
"Kolobok / Ashot Mefodin / Russia / 2020 / 9'49""";Колобок
"Kusanagi / Eirik Heggen / Norway / 2020 / 3'04""";
"La Creation du Monde / David Ehrlich / United States / 2021 / 3'32""";Сотворение мира
"La Dolce Vita / Henri Veermae / Estonia / 2018 / 5'53""";Сладкая жизнь
"Lame Dust / Alexandra Abramova / Russia / 2021 / 6'41""";Хромая пыль
"Lampianu / Jacqui Baffico / Chile / 2020 / 4'53""";
"Lao Ra - Suena Taz / Silvia Prietov / Colombia / 2020 / 2'43""";
"Last Supper / Piotr Dumala / Poland / 2019 / 13'00""";Тайная вечеря
"Last Words / Alexandra Karelina / Russia / 2020 / 8'00""";Последние слова
"Leaf / Aliona Baranova / Belarus, Czech Republic / 2020 / 5'40""";Лист
"Letting Go / Cecile Brun / Switzerland / 2019 / 6'33""";Отпустить
"Life’s a Bitch / Varya Yakovleva / Russia / 2021 / 6'21""";Жизнь-паскуда
"Lights Out By Catapus / Ben Walden / United Kingdom / 2020 / 3'25""";
"Lion on Tiger - Love Angle / Diego Cumplido / Chile / 2020 / 1'50""";
"Listen Papa! / Olga Poliektova, Tatiana Poliektova / Russia / 2019 / 13'00""";Слушай, папа!
"Little Miss Fate / Joder von Rotz / Switzerland / 2020 / 8'14""";Судьбинушка
"Los Magos / Muti / South Africa / 2019 / 1'00""";Маги
"Los Mundos - Frutos Rojos / Dave Merson Hess / Mexico / 2020 / 3'30""";
"Lost Eye / Sarah Pannekoek / Netherlands / 2019 / 2'10""";Потерянный глаз
"Love 21 / Martina Mestrovic / Croatia / 2021 / 2'36""";Любовь 21
"Love Race / Dariush Oskouie / Iran / 2021 / 3'07""";
"Lucky Chops – Traveler / Raman Djafari, Daniel Almagor / Germany / 2019 / 3'45""";
"Lumae - Insane / Aira Joana / Switzerland / 2020 / 2'41""";
"Luna Llena / Isabel Garcia Moya / Belgium / 2020 / 3'58""";
"Maalbeek / Ismaël Joffroy Chandoutis / France / 2020 / 15'51""";Малбек
"Maalbeek / Ismaël Joffroy Chandoutis / France / 2020 / 15'51""";
"Machini / Frank Mukunday, Tetshim / Congo / 2019 / 10'00""";Машины
Mantis Love / Baptiste Groazil / France / 2020 / 06'30""";Любовь богомола
"Marbles / Natalia Spychala / Poland / 2019 / 5'00""";Шарики
"Marmalade / Anna Lyubimtseva / Russia / 2019 / 4'20""";Мармелад
"Me And My Magnet And My Dead Friend / Liu Maoning / China / 2019 / 13'06""";Я, мой магнит и мой умерший друг
"Melissa Laveaux - Angeliko / Marion Castera & Kelzang Ravach / France / 2018 / 2'56""";Мелисса Лаво - Ангелико
"Melt / Christopher Rohde, Kenneth Warner / Canada / 2021 / 4'00""";Расплавленный
"Merry Grandmas / Natalia Mirzoyan / Russia / 2020 / 8'00""";Привет, бабульник!
"Message For You / Axel Dumont / Belgium / 3'22""";Сообщение для тебя
"MeTube 3: August sings „Una furtiva lagrima“ / Daniel Moshel / Austria / 2020 / 10'00""";"MeTube 3: Август поёт ""Una furtiva lagrima"""
"Michaela Tereshkova's Extremely Obscure Discovery / YK Animation Studio / Switzerland / 2019 / 2'28""";Крайне непонятное открытие Микаэлы Терешковой
"Mind My Mind / Floor Adams / Netherlands / 2019 / 29'40""";Себе на уме
"Modern Man / Victoria Grenier / France / 2019 / 2'43""";Современный мужчина
"Monachopsis / Liesbet van Loon / Belgium / 2020 / 10'20""";Не в своей тарелке
"Mondo Domino / Suki / France / 2021 / 6'15""";Мир домино
"Moon / Maria Saveleva, Katya Mikheeva / Russia / 2020 / 3'24""";Луна
"Mother didn't know / Anita Killi / Norway / 2020 / 11'16""";Мама не знала
"Mr. Mare / Luca Toth / Hungary / 2019 / 19'28""";Мистер Кобыла
"Muesum / Andrei Bakhurin / Russia / 2021 / 6'34""";Муезум
"Multirature - Dog's Heart / Vladimir Fedorov / Russia / 2020 / 1'57""";Мультиратура - Собачье сердце
"Murka / Inga Korzhneva /  Russia / 2021 / 2'16""";Мурка
"My Galactic Twin Galaction / Sasha Svirsky / Russia / 2020 / 6'33""";Мой галактический двойник Галактион
"Needs / Júlia Lerch / Hungary / 2020 / 5'19""";Потребности
"Nest / Sonja Rohleder / Germany / 2019 / 4'10""";Гнездо
"Nestling / Marat Narimanov / Russia / 2020 / 6'35""";Галчонок
"Neurussia - House of glass / Ilya Belikov, Anna Pishikina / Russia / 2020 / 1'57""";Нейроссия - Дом из стекла
"Night Session / Petre Tomadze / Georgia / 2019 / 3'40""";Ночное
"No Future / Anaïse Lafontaine / Belgium / 2020 / 4'45""";
"No Strings Attached / Luisa Vigano / Italy / 2020 / 3'01""";
"Nobody / Matt Layfield / United Kingdom / 2020 / 5'55""";Никто
"Nobody Hear / Sin-Rong Lai / Taiwan / 2019 / 2'31""";
"Nope Face / Antonio Michele Stea / Italy / 2019 / 5'44""";
"Nothing / Kim Martín Humphrey / Spain / 2020 / 4'04""";
"Oh, Nooo! / Ivan Maximov / Russia / 2021 / 5'36""";О, неет!
"Oldie But Goldie / Nacho Subirats / Spain / 2019 / 5'35""";Тряхнуть стариной
"Orchestra Rehearsal / Tatiana Okruzhnova /  Russia / 2021 / 6'30""";Репетиция оркестра
"Orgiastic Hyper-Plastic / Paul Bush / Denmark / 2020 / 7'00""";Оргиастический гиперпластик
"Orinthonics / Emilie Crewe / Canada / 2020 / 2'53""";
"Out of the Ground / Maria Afonina, Anna Lyubimtseva / Russia / 2020 / 8'12""";Из-под земли
"Papa Zaza / Géraldine Charpentier / Belgium / 2020 / 8'28""";Папа Заза
"Parked / Yoon Hei Cho / United States / 2021 / 3'50""";Припаркованный
"Password to the * * * * * / Adél Szegedi / United Kingdom / 2021 / 1'40""";
"Patrouille De France - Dernier Tour / Emmanuel Lantam / France / 2019 / 4'15""";Патруль Франции - Последний полёт
"Peili: Peace Pipe / Erkki Ramet / Finland / 2019 / 3'53""";
"Persephone - the tale of winter / Rebeka Köves / Hungary / 2020 / 2'23""";
"Pick Up Your Cross (and follow me) / Michael J. Keplinger / Austria / 2020 / 2'53""";
"Pilar / Yngwie Boley, J.J. Epping, Diana van Houten / Netherlands / 2020 / 9'22""";Пилар
Pile / Toby Auberg / United Kingdom / 2019 / 3'23""";Груда
"Pishto's Birthday / Sonya Kendel /  Russia / 2020 / 10'56""";День рождения Пишто
"Please Don't Touch / Capucine Gougelet / France / 2021 / 9'15""";Пожалуйста, не трогайте!
"Portrait of a woman / Natalia Durszewicz / Poland / 2020 / 4'50""";Женский портрет
"Poum Poum! / Damien Tran / France / 2020 / 5'30""";Пум Пум!
Precious / Paul Mas / France / 2020 / 14'00""";Драгоценный
