Snail's Breakfast / Eugeniy Fadeyev / Russian Federation / 2021 / 7:07;Завтрак для улиток;
Snow is Falling / Nina Bisiarina / Russian Federation / 2022 / 2:00;Снег идёт;
Summer Night Music / Sasha Vasiliev / Russian Federation / 2022 / 13:41;Музыка летней ночи;
The Best Grandfather in the World / Nina Bisyarina / Russian Federation / 2022 / 6:30;Лучший дедушка на свете;
Behind the Door / Sabina Fakhrutdinova / Russia / 2020 / 6:12;За дверью;
1/2 / Ekaterina Zhuzhleva / Russia / 2021 / 2:12;1.2;
Alex's  Story / Alexey Ermolaev / Russia / 2021 / 2:04;История Алекса;
Alice's  Story / Irina Elshanskaya / Russia / 2021 / 2:36;История Алисы;
Apnea / Aleksandra Kononova / Russia / 2022 / 4:00;Апноэ;
Approach / Valentin Tyuterev / Russia / 2021 / 5:43;Сближение;
Art Nouveau Phantasmagoria / Oksana Bronevitckaia / Russia / 2022 / 6:47;Фантасмагория в стиле модерн (концерт на крыше);
Before the Dark / Pavel Pogudin, Max Kulikov / Russia / 2022 / 2:37;До темноты;
Bon Bon / Masha Rumiantseva / Russia / 2021 / 2:58;Конфета;
CartoonSpace – Korolev / Vladimir Fedorov / Russia / 2021 / 3:11;МультиКосмос - Сергей Королев;
Cold August / Maria Morozova / Russia / 2021 / 1:14;Холодный август;
Geese, Me, Alina / Maria Afonina / Russia / 2021 / 3:35;Гуси, я, Алина;
Good Old Vinil / Yarin Philipp / Russia / 2022 / 13:05;Старый добрый винил;
Green / Kamila Faskhutdinova / Russia / 2021 / 1:52;Зелёнка;
Guiding Star / Elina Sibgatullina / Russia / 2022 / 3:17;Путеводная звезда;
Harvest / Ivan Arkhipov / Russia / 2021 / 4:48;Урожай;
History  of Cosmonautics / Alexey Ermolaev, Maria Ermolaeva / Russia / 2021 / 5:22;История космонавтики;
History of Arctic and Antarctic Exploration / Yura Boguslavsky / Russia / 2021 / 5:50;История изучения Арктики и Антарктики;
History of Radio Electronics / Alexandra Kharitonova / Russia / 2021 / 5:25;История радиоэлектроники;
Home Alone / Vera Vyugina / Russia / 2021 / 3:56;Одна дома;
Howl by Gogol / Uliana Shalygina / Russia / 2022 / 2:52;Вой по Гоголю;
Internal Compass / Kirill Shahtarin / Russia / 2021 / 3:17;Внутренний компас;
Koli Topor / Marina Sidorovich, Tatiana Gorbenko, Elena Britova, Sasha Fendy, Sasha Vorobyeva, Saule Matvienko, Masha Felitsyna, Leisan Iskandarova, Lubov Golubkova, Uliana Shalygina, Aleksandra Monahova, Alena Pugacheva, Vika Malechkina / Russia / 2022 / 7:58;Коли Топор;
Lab N66 / Yulia Rostovskya / Russia / 2021 / 7:34;Лаборатория № 66;
Little Clouds / Liza Skvortsova / Russia / 2021 / 2:00;Тучкины штучки;
Mama / Eva Nurulina / Russia / 2021 / 2:16;Мама;
Max's Story / Polina Campioni / Russia / 2021 / 2:06;История Макса;
Mom's Button / Anna Kritskaya / Russia / 2021 / 6:00;Мамина пуговка;
My Jumpsuit / Maria Zheleznova / Russia / 2021 / 4:38;Мой комбез;
Orange / Maria Yakushina / Russia / 2022 / 3:04;Апельсин;
Progress / Saule Matvienko / Russia / 2022 / 1:46;Прогресс;
Rituals / Ekaterina Zhuzhleva / Russia / 2021 / 2:06;Ритуалы;
Rock-a-Bye / Victoria Spiryagina / Russia / 2022 / 1:46;Баю-бай;
Running Through the Exhibition / Anastasiya Toropova, Lyusya Sibirceva, Ekaterina Vdovina, Darya Shishova, Fedor Yudin, Nikita Meshcheryakov, Aleksandra Deeva, Aleksandra Kononova, Aleksandra Pavlova, Katya Vatel, Dmitry Morozov / Russia / 2022 / 4:20;Бежа, бежа по выставке;
Sandbox / Garry Bardin / Russia / 2021 / 11:00;Песочница;
Shall We Talk? / Katya Mikheeva / Russia / 2020 / 5:00;Поговорим?;
Star Catch / Pelageya Generalova / Russia / 2021 / 4:04;Звёздный улов;
Steps / Tatiana Moshkova, Marina Moshkova / Russia / 2022 / 8:45;Шаги;
Tatt / Ekaterina Ulyanova / Russia / 2021 / 3:29;Тать;
The Giraffe / Natalya Mirzoyan / Russia / 2022 / 2:35;Жираф;
The Encounter / Aleksandra Krivolutskaia / Russia / 2022 / 5:52;Встреча;
The History of the Peaceful Atom and Thermonuclear Fusion / Irina Elshanskaya / Russia / 2021 / 5:37;История мирного атома и термоядерный синтез;
The Package / Zina Shcherbatova / Russia / 2021 / 5:00;Свёрток;
The Path of a Thousand Gates / Varvara Obedkova / Russia / 2021 / 6:12;Дорога тысячи ворот;
The Prism / Sasha Bezlepkina, Kirill Shakhtarin, Anna Kharina / Russia / 2021 / 5:07;Призма;
The Scariest One / Pavel Nikiforov / Russia / 2020 / 8:00;Самый страшный;
The Underside / Anna Chekushkina / Russia / 2022 / 3:22;Изнанка;
The Wave / Alexandra Pavlova / Russia / 2022 / 4:26;Волна;
Vera's 21st Man / Ekaterina Kuricheva / Russia / 2022 / 5:53;21ый мужчина Веры;
Whatever I Believe in, Exists / Aliya Polidanova / Russia / 2020 / 4:35;Во что верю, то и есть;
Where Do Dads Go / Alina Khabarova / Russia / 2021 / 5:00;Куда уходят папы;
Wings for a Friend / Mikhail Aldashin, Konstantin Arefev / Russia / 2022 / 3:00;Крылья для друга;
Yesterday I Took a Swim / Sofia Silvestrova / Russia / 2021 / 11:17;Вчера я купалась в пруду;
Train Dogs / Alexey Ermolaev / Russia / 2020 / 2:00;Train Dogs;
Big and Small / Natalia Grofpel / Russia / 2020 / 6:00;Большой и маленький;
Grand Prix 2016: Edmond / Nina Gantz / United Kingdom / 2015 / 9:23;Эдмонд;
Grand Prix 2017: Natsu no megami no kuchi no naka (At the Mouth of Summer) / Xinxin Liu / Japan / 2016 / 5:49;В начале лета;
Grand Prix 2018: (OO) / Seo-Ro Oh / South Korea / 2017 / 6:10;(ОО);
Grand Prix 2019: Five Minutes to Sea / Natalia Mirzoyan / Russian Federation / 2019 / 7:10;Пять минут до моря;
Grand Prix 2020: Purpleboy / Alexandre Siqueira / Portugal, France / 2019 / 13:55;Пурпурный;
Profnastil Prize 2021: Affairs of the Art / Joanna Quinn / United Kingdom / 2020 / 16:00;Роман с искусством;
Special Prize 2021: Precious / Paul Mas / France / 2020 / 14:00;Драгоценный;
Grand Prix 2021: The Expected / Carolina Sandvik / Sweden / 2021 / 14:30;Ожидаемый;
Profnastil Prize 2020: Boriya / Min Sung Ah / France / 2019 / 17:13;Боря;
Special Distinction of the Jury 2021: My friend who shines in the night / Grégoire De Bernouis, Jawed Boudaoud, Simon Cadilhac, Hélène Ledevin / France / 2020 / 08:47;Мой друг, который светится в темноте;
Diploma of the Jury 2021: Vadim on a walk / Sasha Svirsky / Russian Federation / 2021 / 07:57;Вадим на прогулке;
Equilibristics Prize 2020: Average Happiness / Maja Gehrig / Switzerland / 2019 / 7:03;Усреднённое счастье;
Profnastil Prize 2021: Affairs of the Art / Joanna Quinn / United Kingdom / 2020 / 16:00;Роман с искусством;
The Best Russian Film 2021: The Fence / Maria Kogan-Lerner / Russian Federation / 2020 / 07:40;За забором;
Special Jury Prize 2021: Precious / Paul Mas / France / 2020 / 14:00;Драгоценный;
Diploma of the Jury 2021: A Tiny Tale / Sylvain Cuvillier, Chloé Bourdic, Théophile Coursimault, Noémie Halberstam, Maÿlis Mosny, Zijing Ye / France / 2020 / 07:33;Крошечная история;
Eating in the Dark / Inari Sirola / United Kingdom / 2021 / 9:05;Тёмная трапеза;
The Days That (Never) Were / Pedro Rivero, Kevin Iglesias Rodríguez / Spain / 2022 / 11:00;Дни, которые (не) случились;
Diploma of the Jury 2020: Last Supper / Piotr Dumala / Poland / 2019 / 13:00;Тайная вечеря;
Debutoriya Prize 2020: Sororal / Frederic Even, Louise Mercadier / France / 2019 / 14:56;Сестринство;

